domain,comparison,receptor_model,roc_auc,roc_auc_ci_low,roc_auc_ci_high,n,n_positive,n_negative,null_95th_percentile,evaluation,interval_method,model_label,model_name,chain_group,sequence_type,k,selection_auc_mean,selection_balanced_accuracy_mean,pr_auc,balanced_accuracy,pr_auc_ci_low,pr_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,bootstrap_replicates,positive_label,maximum_fitting_iterations,configured_max_iterations
diagnosis,cd_vs_control,TCR,0.9888888888888888,0.9777777777777776,1.0,115,91,24,0.6466666666666665,fully nested outer-fold validation,outer-fold distribution,,,,,,,,,,,,,,,,,
diagnosis,uc_vs_control,TCR,1.0,1.0,1.0,91,67,24,0.6892307692307692,fully nested outer-fold validation,outer-fold distribution,,,,,,,,,,,,,,,,,
diagnosis,cd_vs_uc,TCR,0.8888888888888888,0.7976190476190477,0.9473684210526316,158,91,67,0.5992063492063492,fully nested outer-fold validation,outer-fold distribution,,,,,,,,,,,,,,,,,
diagnosis,cd_vs_control,BCR,0.8444444444444443,0.7777777777777777,0.8777777777777778,115,91,24,0.6329824561403509,fully nested outer-fold validation,outer-fold distribution,,,,,,,,,,,,,,,,,
diagnosis,uc_vs_control,BCR,0.8214285714285714,0.7428571428571429,0.9384615384615383,91,67,24,0.6571428571428571,fully nested outer-fold validation,outer-fold distribution,,,,,,,,,,,,,,,,,
diagnosis,cd_vs_uc,BCR,0.7393162393162394,0.6626984126984127,0.7948717948717948,158,91,67,0.5927800269905532,fully nested outer-fold validation,outer-fold distribution,,,,,,,,,,,,,,,,,
inflammation,cd_inflamed_vs_noninflamed,BCR,0.686764705882353,0.5619498278058215,0.7999152131782946,91,40,51,,fixed selected model; participant-level 5-fold CV,participant bootstrap of out-of-fold predictions,SVM AA heavy K3,SVM,bcr_heavy,aa,3.0,0.76875,0.7,0.6936693067998759,0.6752450980392157,0.552238163567944,0.8216885308782852,0.5724814955850631,0.7722763629013629,3000.0,Inflamed,14.0,500000.0
inflammation,cd_inflamed_vs_noninflamed,TCR,0.709313725490196,0.5946011376248612,0.808842034674109,91,40,51,,fixed selected model; participant-level 5-fold CV,participant bootstrap of out-of-fold predictions,SVM AA alpha+beta K3,SVM,tcr_alpha_beta,aa,3.0,0.83125,0.7166666666666667,0.6203883558777523,0.6215686274509804,0.47873892723814687,0.7815636660704067,0.5299181465038846,0.7123065476190475,3000.0,Inflamed,27.0,500000.0
inflammation,cd_inflamed_vs_noninflamed,TCR+BCR,0.7411764705882353,0.624503925361247,0.84369224994225,91,40,51,,fixed selected model; participant-level 5-fold CV,participant bootstrap of out-of-fold predictions,SVM | TCR alpha+beta + BCR heavy | AA K4,,,,,0.7583333333333335,0.6708333333333334,0.7533134477077195,0.6080882352941177,0.6200111245146795,0.8586917268680703,0.5317767689664413,0.6900415054803353,3000.0,Inflamed,8.0,500000.0
inflammation,uc_inflamed_vs_noninflamed,BCR,0.6527777777777778,0.506228236537744,0.7804958117762996,67,40,27,,fixed selected model; participant-level 5-fold CV,participant bootstrap of out-of-fold predictions,SVM NT heavy+light K3,SVM,bcr_heavy_light,nt,3.0,0.7423076923076923,0.6692307692307693,0.7259529911495254,0.6157407407407407,0.582092080175684,0.8624049687131143,0.5018305171530978,0.729364655923345,3000.0,Inflamed,113815.0,500000.0
inflammation,uc_inflamed_vs_noninflamed,TCR,0.8777777777777778,0.7885155807263833,0.9521631823461092,67,40,27,,fixed selected model; participant-level 5-fold CV,participant bootstrap of out-of-fold predictions,SVM AA gamma K3,SVM,tcr_gamma,aa,3.0,0.8083333333333333,0.7375,0.9206076339090038,0.7277777777777779,0.8511262082295264,0.9709906836114446,0.6194908301158302,0.8309108527131783,3000.0,Inflamed,10.0,500000.0
