modality,task,positive_class,negative_class,n,n_positive,n_negative,roc_auc_median,roc_auc_ci_low,roc_auc_ci_high,balanced_accuracy_median,balanced_accuracy_ci_low,balanced_accuracy_ci_high,brier_median,brier_ci_low,brier_ci_high,sensitivity_median,sensitivity_ci_low,sensitivity_ci_high,specificity_median,specificity_ci_low,specificity_ci_high,pooled_roc_auc,pooled_balanced_accuracy,pooled_accuracy,pooled_brier,pooled_sensitivity,pooled_specificity,pooled_calibration_intercept,pooled_calibration_slope,modality_label,null_95th_percentile,evidence_tier,domain,comparison,receptor_model,model_label,auc,selection_balanced_accuracy_mean
tcr,cd_vs_control,CD,Control,115.0,91.0,24.0,0.9888888888888888,0.9777777777777776,1.0,0.5,0.5,0.5,0.1663745116655728,0.1388190551942797,0.2009969889080039,1.0,1.0,1.0,0.0,0.0,0.0,0.8988095238095238,0.5416666666666666,0.808695652173913,0.1663360080984329,1.0,0.0833333333333333,-5.98319695261173,1.9628906567559807,TCR,0.6466666666666665,fully nested diagnosis,,,,,,
tcr,uc_vs_control,UC,Control,91.0,67.0,24.0,1.0,1.0,1.0,0.6,0.5,0.7,0.1011598308571825,0.0692991692275631,0.1124759047204807,1.0,1.0,1.0,0.2,0.0,0.4,1.0,0.625,0.8021978021978022,0.0905231698894422,1.0,0.25,-621.3483544560532,330.1203366546255,TCR,0.6892307692307692,fully nested diagnosis,,,,,,
tcr,cd_vs_uc,CD,UC,158.0,91.0,67.0,0.8888888888888888,0.7976190476190477,0.9473684210526316,0.7905982905982906,0.7380952380952381,0.8095238095238095,0.1474814687029258,0.1198864569419427,0.186120690862371,0.8421052631578947,0.8333333333333334,0.9444444444444444,0.6923076923076923,0.6153846153846154,0.7692307692307693,0.8692799737575857,0.7325733967525012,0.7531645569620253,0.151220060612002,0.8681318681318682,0.5970149253731343,-0.2545071714065006,1.0257376647724537,TCR,0.5992063492063492,fully nested diagnosis,,,,,,
bcr,cd_vs_control,CD,Control,115.0,91.0,24.0,0.8444444444444443,0.7777777777777777,0.8777777777777778,0.6,0.5444444444444444,0.625,0.1572866029475831,0.1267442438565843,0.2067565520043326,1.0,1.0,1.0,0.2,0.2,0.25,0.7710622710622711,0.6041666666666666,0.8347826086956521,0.1544573783852719,1.0,0.2083333333333333,-0.1653189504863822,0.2854693024098374,BCR,0.6329824561403509,fully nested diagnosis,,,,,,
bcr,uc_vs_control,UC,Control,91.0,67.0,24.0,0.8214285714285714,0.7428571428571429,0.9384615384615383,0.5,0.5,0.625,0.2260713331492836,0.1738154503708605,0.2774852192964283,1.0,1.0,1.0,0.0,0.0,0.25,0.7201492537313432,0.5625,0.7692307692307693,0.2193348053760259,1.0,0.125,0.0096450433475024,0.1012577833928947,BCR,0.6571428571428571,fully nested diagnosis,,,,,,
bcr,cd_vs_uc,CD,UC,158.0,91.0,67.0,0.7393162393162394,0.6626984126984127,0.7948717948717948,0.6376518218623481,0.5674603174603174,0.7136752136752136,0.232554084481775,0.2105813452174713,0.326528294067487,0.8333333333333334,0.7368421052631579,0.8888888888888888,0.5384615384615384,0.5,0.7692307692307693,0.727242906347384,0.701574544858127,0.7151898734177216,0.2186830474874247,0.7912087912087912,0.6119402985074627,0.1742632567763254,0.3626304431354096,BCR,0.5927800269905532,fully nested diagnosis,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,inflammation,cd_inflamed_vs_noninflamed,TCR,LR AA alpha+beta K3,0.8229166666666667,0.7333333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,inflammation,cd_inflamed_vs_noninflamed,BCR,SVM AA heavy K3,0.76875,0.7
,,,,91.0,40.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,inflammation,cd_inflamed_vs_noninflamed,TCR+BCR,LR | TCR alpha+beta + BCR heavy | AA K4,0.7572916666666667,0.6875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,inflammation,uc_inflamed_vs_noninflamed,TCR,SVM AA gamma K3,0.8083333333333333,0.7375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,inflammation,uc_inflamed_vs_noninflamed,BCR,SVM NT heavy+light K3,0.7423076923076923,0.6692307692307693
,,,,67.0,40.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,inflammation,uc_inflamed_vs_noninflamed,TCR+BCR,SVM | TCR beta + BCR light | AA K3,0.7365384615384615,0.5567307692307693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,anti_tnf_nonresponder_vs_responder,TCR,SVM NT alpha+beta K4,0.7854545454545454,0.7709090909090909
,,,,68.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,anti_tnf_nonresponder_vs_responder,TCR+BCR,SVM | TCR beta + BCR light | AA K4,0.790909090909091,0.7163636363636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,anti_tnf_nonresponder_vs_responder,BCR,LR AA heavy K3,0.7290909090909091,0.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,combined_biologic_nonresponder_vs_responder,TCR,LR AA alpha+beta K4,0.8714681440443213,0.7473684210526316
,,,,125.0,64.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,combined_biologic_nonresponder_vs_responder,TCR+BCR,SVM | TCR beta + BCR light | AA K3,0.746814404432133,0.6947368421052631
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,combined_biologic_nonresponder_vs_responder,BCR,SVM AA heavy K4,0.7412742382271468,0.6789473684210525
,,,,35.0,17.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,ustekinumab_nonresponder_vs_responder,TCR+BCR,SVM | TCR beta + BCR light | AA K4,0.9933333333333334,0.8833333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,ustekinumab_nonresponder_vs_responder,TCR,SVM NT gamma K3,0.8240000000000001,0.8400000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,ustekinumab_nonresponder_vs_responder,BCR,SVM AA light K4,0.94,0.8300000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,vedolizumab_nonresponder_vs_responder,TCR,LR NT gamma K3,0.75,0.7249999999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,vedolizumab_nonresponder_vs_responder,BCR,LR NT heavy K4,0.5666666666666667,0.675
,,,,22.0,13.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,exploratory best-of-screen,therapy_response,vedolizumab_nonresponder_vs_responder,TCR+BCR,LR | TCR beta + BCR light | AA K4,0.7500000000000001,0.5
