domain,comparison,receptor_model,model_label,auc,selection_balanced_accuracy_mean,n,n_positive,n_negative
inflammation,cd_inflamed_vs_noninflamed,TCR,LR AA alpha+beta K3,0.8229166666666667,0.7333333333333334,,,
inflammation,cd_inflamed_vs_noninflamed,BCR,SVM AA heavy K3,0.76875,0.7,,,
inflammation,cd_inflamed_vs_noninflamed,TCR+BCR,LR | TCR alpha+beta + BCR heavy | AA K4,0.7572916666666667,0.6875,91.0,40.0,51.0
inflammation,uc_inflamed_vs_noninflamed,TCR,SVM AA gamma K3,0.8083333333333333,0.7375,,,
inflammation,uc_inflamed_vs_noninflamed,BCR,SVM NT heavy+light K3,0.7423076923076923,0.6692307692307693,,,
inflammation,uc_inflamed_vs_noninflamed,TCR+BCR,SVM | TCR beta + BCR light | AA K3,0.7365384615384615,0.5567307692307693,67.0,40.0,27.0
therapy_response,anti_tnf_nonresponder_vs_responder,TCR,SVM NT alpha+beta K4,0.7854545454545454,0.7709090909090909,,,
therapy_response,anti_tnf_nonresponder_vs_responder,TCR+BCR,SVM | TCR beta + BCR light | AA K4,0.790909090909091,0.7163636363636364,68.0,34.0,34.0
therapy_response,anti_tnf_nonresponder_vs_responder,BCR,LR AA heavy K3,0.7290909090909091,0.67,,,
therapy_response,combined_biologic_nonresponder_vs_responder,TCR,LR AA alpha+beta K4,0.8714681440443213,0.7473684210526316,,,
therapy_response,combined_biologic_nonresponder_vs_responder,TCR+BCR,SVM | TCR beta + BCR light | AA K3,0.746814404432133,0.6947368421052631,125.0,64.0,61.0
therapy_response,combined_biologic_nonresponder_vs_responder,BCR,SVM AA heavy K4,0.7412742382271468,0.6789473684210525,,,
therapy_response,ustekinumab_nonresponder_vs_responder,TCR+BCR,SVM | TCR beta + BCR light | AA K4,0.9933333333333334,0.8833333333333334,35.0,17.0,18.0
therapy_response,ustekinumab_nonresponder_vs_responder,TCR,SVM NT gamma K3,0.8240000000000001,0.8400000000000001,,,
therapy_response,ustekinumab_nonresponder_vs_responder,BCR,SVM AA light K4,0.94,0.8300000000000001,,,
therapy_response,vedolizumab_nonresponder_vs_responder,TCR,LR NT gamma K3,0.75,0.7249999999999999,,,
therapy_response,vedolizumab_nonresponder_vs_responder,BCR,LR NT heavy K4,0.5666666666666667,0.675,,,
therapy_response,vedolizumab_nonresponder_vs_responder,TCR+BCR,LR | TCR beta + BCR light | AA K4,0.7500000000000001,0.5,22.0,13.0,9.0
