module,Diagnosis,clone_bin,n,median,ci_low,ci_high
EOMES_ZEB2_inflammatory_CD8_TRM_like,Control,Singleton,24,0.0,0.0,0.0
EOMES_ZEB2_inflammatory_CD8_TRM_like,Control,2 cells,15,0.1974778218910191,0.0183044998748802,0.4351713336782297
EOMES_ZEB2_inflammatory_CD8_TRM_like,Control,3-4 cells,11,0.1394592005981378,0.0749989107087096,0.2429812771054901
EOMES_ZEB2_inflammatory_CD8_TRM_like,Control,>=5 cells,5,0.1655627033887211,-0.0473394573642111,0.3168729420556225
EOMES_ZEB2_inflammatory_CD8_TRM_like,CD,Singleton,91,0.0,0.0,0.0
EOMES_ZEB2_inflammatory_CD8_TRM_like,CD,2 cells,49,0.0709917039958205,0.0317527364649767,0.1121662358817839
EOMES_ZEB2_inflammatory_CD8_TRM_like,CD,3-4 cells,36,0.14233991111211985,0.0669842281455874,0.1724982704935261
EOMES_ZEB2_inflammatory_CD8_TRM_like,CD,>=5 cells,27,0.1869026706423402,0.0971429111672922,0.3003376657751334
EOMES_ZEB2_inflammatory_CD8_TRM_like,UC,Singleton,67,0.0,0.0,0.0
EOMES_ZEB2_inflammatory_CD8_TRM_like,UC,2 cells,49,0.0652779865494821,-0.0119506685636662,0.1107040450648685
EOMES_ZEB2_inflammatory_CD8_TRM_like,UC,3-4 cells,33,0.1330663648553958,0.1042623895095518,0.1971441354769249
EOMES_ZEB2_inflammatory_CD8_TRM_like,UC,>=5 cells,23,0.1613478538084929,0.1064077842811355,0.2573324369695619
EOMES_ZEB2_inflammatory_CD8_TRM_like,Pooled,Singleton,182,0.0,0.0,0.0
EOMES_ZEB2_inflammatory_CD8_TRM_like,Pooled,2 cells,113,0.0709917039958205,0.0474872287511638,0.103375092480617
EOMES_ZEB2_inflammatory_CD8_TRM_like,Pooled,3-4 cells,80,0.1389082972697833,0.0993944220146348,0.1597803178201959
EOMES_ZEB2_inflammatory_CD8_TRM_like,Pooled,>=5 cells,55,0.1763643844024435,0.1102299520352931,0.2250517594827995
Effector_cytotoxicity,Control,Singleton,24,0.0,0.0,0.0
Effector_cytotoxicity,Control,2 cells,15,0.1258772913255685,0.0469723117347338,0.2875885599883723
Effector_cytotoxicity,Control,3-4 cells,11,0.0797625918075133,0.052472605349505,0.2304433025510031
Effector_cytotoxicity,Control,>=5 cells,5,0.0678071653999299,-0.2201382767139133,0.1276060238916721
Effector_cytotoxicity,CD,Singleton,91,0.0,0.0,0.0
Effector_cytotoxicity,CD,2 cells,49,0.0793425587655223,0.0460903139400835,0.1109492176688027
Effector_cytotoxicity,CD,3-4 cells,36,0.11541735686740945,0.0569986614667786,0.1777126246559704
Effector_cytotoxicity,CD,>=5 cells,27,0.1305057542036388,0.0860264514234165,0.2014627178572554
Effector_cytotoxicity,UC,Singleton,67,0.0,0.0,0.0
Effector_cytotoxicity,UC,2 cells,49,0.0753444935406211,0.0404506784660553,0.1067276405622009
Effector_cytotoxicity,UC,3-4 cells,33,0.1347837753036059,0.0873374964772179,0.1707857301195659
Effector_cytotoxicity,UC,>=5 cells,23,0.1309827567409997,0.112031080087621,0.1677539144860744
Effector_cytotoxicity,Pooled,Singleton,182,0.0,0.0,0.0
Effector_cytotoxicity,Pooled,2 cells,113,0.0807867825149096,0.0570107712452678,0.1054254205025831
Effector_cytotoxicity,Pooled,3-4 cells,80,0.11819709628648405,0.0807223540940423,0.1516997913317508
Effector_cytotoxicity,Pooled,>=5 cells,55,0.1252740891702174,0.0871223775442365,0.1582510001514398
Th1_Tc1_inflammatory,Control,Singleton,24,0.0,0.0,0.0
Th1_Tc1_inflammatory,Control,2 cells,15,0.0934580898031122,-0.0099038095619708,0.1710771902059367
Th1_Tc1_inflammatory,Control,3-4 cells,11,0.0910101407299721,-0.0144765297850633,0.1767023458632341
Th1_Tc1_inflammatory,Control,>=5 cells,5,0.0469487450197529,-0.1155751765641624,0.1196051189204475
Th1_Tc1_inflammatory,CD,Singleton,91,0.0,0.0,0.0
Th1_Tc1_inflammatory,CD,2 cells,49,0.0284650263627648,-0.0211615655695311,0.05942772575446687
Th1_Tc1_inflammatory,CD,3-4 cells,36,0.083214286148381,0.0605450855446889,0.1162116159715273
Th1_Tc1_inflammatory,CD,>=5 cells,27,0.0993046661386336,0.0412764489232422,0.1353866681075674
Th1_Tc1_inflammatory,UC,Singleton,67,0.0,0.0,0.0
Th1_Tc1_inflammatory,UC,2 cells,49,0.0461677160899487,0.0070891089138865,0.0584050414951889
Th1_Tc1_inflammatory,UC,3-4 cells,33,0.0854558067404141,0.0446809642044874,0.1038716052895887
Th1_Tc1_inflammatory,UC,>=5 cells,23,0.081467638807781,0.0482044252177365,0.0944240579966257
Th1_Tc1_inflammatory,Pooled,Singleton,182,0.0,0.0,0.0
Th1_Tc1_inflammatory,Pooled,2 cells,113,0.0405793855329546,0.009495818103131602,0.0568395970991694
Th1_Tc1_inflammatory,Pooled,3-4 cells,80,0.0854017104444312,0.064852163778129,0.1037700834442638
Th1_Tc1_inflammatory,Pooled,>=5 cells,55,0.0843801089015899,0.0631520575816599,0.1020740280797701
GZMK_inflammatory_memory,Control,Singleton,24,0.0,0.0,0.0
GZMK_inflammatory_memory,Control,2 cells,15,0.0800311197823309,-0.0571488545557892,0.1497039652425494
GZMK_inflammatory_memory,Control,3-4 cells,11,0.100476727298424,-0.129234212999772,0.1790343645779153
GZMK_inflammatory_memory,Control,>=5 cells,5,-0.088978244894627,-0.1761849579263046,0.0543033303812194
GZMK_inflammatory_memory,CD,Singleton,91,0.0,0.0,0.0
GZMK_inflammatory_memory,CD,2 cells,49,0.0057773924556878,-0.0488041674591708,0.072960084274428
GZMK_inflammatory_memory,CD,3-4 cells,36,0.03991577763614945,-0.033410582378692454,0.1185860217945825
GZMK_inflammatory_memory,CD,>=5 cells,27,0.0632754658418584,0.0309472828036942,0.1395045715409513
GZMK_inflammatory_memory,UC,Singleton,67,0.0,0.0,0.0
GZMK_inflammatory_memory,UC,2 cells,49,0.0126453499277041,-0.0234254342426404,0.0693567546686173
GZMK_inflammatory_memory,UC,3-4 cells,33,0.0270189342010749,-0.01886050843986,0.1096949443754868
GZMK_inflammatory_memory,UC,>=5 cells,23,0.0328084969365108,-0.021069762258713,0.076355818830255
GZMK_inflammatory_memory,Pooled,Singleton,182,0.0,0.0,0.0
GZMK_inflammatory_memory,Pooled,2 cells,113,0.0126453499277041,-0.0142338304168989,0.0539039063886932
GZMK_inflammatory_memory,Pooled,3-4 cells,80,0.034985312827531395,-0.0056190903331024,0.0877555508328569
