module,Diagnosis,clone_bin,n,median,ci_low,ci_high
EOMES_ZEB2_inflammatory_CD8_TRM_like,Control,Singleton,24,0.0,0.0,0.0
EOMES_ZEB2_inflammatory_CD8_TRM_like,Control,2 cells,24,0.0987203904317439,0.0581976534353236,0.121481221733613
EOMES_ZEB2_inflammatory_CD8_TRM_like,Control,3-4 cells,17,0.2159102318115308,0.1126836455528356,0.2415803704278087
EOMES_ZEB2_inflammatory_CD8_TRM_like,Control,>=5 cells,17,0.1914880530976903,0.0778862787603369,0.259462232237665
EOMES_ZEB2_inflammatory_CD8_TRM_like,CD,Singleton,91,0.0,0.0,0.0
EOMES_ZEB2_inflammatory_CD8_TRM_like,CD,2 cells,86,0.0692335491506618,0.0382745466867058,0.0920948302710819
EOMES_ZEB2_inflammatory_CD8_TRM_like,CD,3-4 cells,59,0.1585864998199946,0.1170919466394797,0.1948191222086192
EOMES_ZEB2_inflammatory_CD8_TRM_like,CD,>=5 cells,49,0.1985765676956307,0.1399728540084183,0.2657734080474018
EOMES_ZEB2_inflammatory_CD8_TRM_like,UC,Singleton,67,0.0,0.0,0.0
EOMES_ZEB2_inflammatory_CD8_TRM_like,UC,2 cells,65,0.0897173433050746,0.0592798009064525,0.1189803795654349
EOMES_ZEB2_inflammatory_CD8_TRM_like,UC,3-4 cells,53,0.1353324619535199,0.0701204939346093,0.1664194716205554
EOMES_ZEB2_inflammatory_CD8_TRM_like,UC,>=5 cells,39,0.1768783929938508,0.1466994967580857,0.217920262199434
EOMES_ZEB2_inflammatory_CD8_TRM_like,Pooled,Singleton,182,0.0,0.0,0.0
EOMES_ZEB2_inflammatory_CD8_TRM_like,Pooled,2 cells,175,0.0830498778826871,0.0654235711595523,0.0991043847381733
EOMES_ZEB2_inflammatory_CD8_TRM_like,Pooled,3-4 cells,129,0.1468458829368586,0.1209780670951099,0.1664194716205554
EOMES_ZEB2_inflammatory_CD8_TRM_like,Pooled,>=5 cells,105,0.187577164403186,0.1645716251602085,0.2174242881720079
Effector_cytotoxicity,Control,Singleton,24,0.0,0.0,0.0
Effector_cytotoxicity,Control,2 cells,24,0.0819005366423622,0.0408085665600741,0.1020339864281923
Effector_cytotoxicity,Control,3-4 cells,17,0.1446566018003522,0.0961946581918731,0.2038565828377686
Effector_cytotoxicity,Control,>=5 cells,17,0.1070182893608171,0.0673863363378149,0.1737198100134296
Effector_cytotoxicity,CD,Singleton,91,0.0,0.0,0.0
Effector_cytotoxicity,CD,2 cells,86,0.0360761011487296,0.0242677819740658,0.0570909742911233
Effector_cytotoxicity,CD,3-4 cells,59,0.1229040724274251,0.1059328871864841,0.1529479884779722
Effector_cytotoxicity,CD,>=5 cells,49,0.1442571370984291,0.077653689407902,0.1826775369288724
Effector_cytotoxicity,UC,Singleton,67,0.0,0.0,0.0
Effector_cytotoxicity,UC,2 cells,65,0.0658431233144758,0.0435708655612166,0.0887133173218734
Effector_cytotoxicity,UC,3-4 cells,53,0.0975809984876724,0.0543905107523086,0.1578054122614791
Effector_cytotoxicity,UC,>=5 cells,39,0.1192859270762754,0.1132816685230667,0.1968004212629376
Effector_cytotoxicity,Pooled,Singleton,182,0.0,0.0,0.0
Effector_cytotoxicity,Pooled,2 cells,175,0.0536788236350508,0.0394197914108445,0.0670615678096221
Effector_cytotoxicity,Pooled,3-4 cells,129,0.1229040724274251,0.1032916549219805,0.1482079344494722
Effector_cytotoxicity,Pooled,>=5 cells,105,0.1215684464186886,0.1080863947916876,0.1588653247538953
Th1_Tc1_inflammatory,Control,Singleton,24,0.0,0.0,0.0
Th1_Tc1_inflammatory,Control,2 cells,24,0.0558549526535465,0.0317376199076274,0.0893398007400786
Th1_Tc1_inflammatory,Control,3-4 cells,17,0.1260383325027173,0.0665416539628463,0.1940515359288447
Th1_Tc1_inflammatory,Control,>=5 cells,17,0.0749130002272375,0.0267081858813986,0.1426639312941725
Th1_Tc1_inflammatory,CD,Singleton,91,0.0,0.0,0.0
Th1_Tc1_inflammatory,CD,2 cells,86,0.0229961042171981,0.0014261725470338,0.0389391773040455
Th1_Tc1_inflammatory,CD,3-4 cells,59,0.0742445809093295,0.0527401648722961,0.0963285074126657
Th1_Tc1_inflammatory,CD,>=5 cells,49,0.1040964877415926,0.0705909253406001,0.1353854481197249
Th1_Tc1_inflammatory,UC,Singleton,67,0.0,0.0,0.0
Th1_Tc1_inflammatory,UC,2 cells,65,0.0478690706568151,0.0270438444903208,0.0685973771820074
Th1_Tc1_inflammatory,UC,3-4 cells,53,0.0652899203876342,0.04195084110876,0.0954853406872901
Th1_Tc1_inflammatory,UC,>=5 cells,39,0.0895562498555117,0.0539059415234733,0.1313142869024138
Th1_Tc1_inflammatory,Pooled,Singleton,182,0.0,0.0,0.0
Th1_Tc1_inflammatory,Pooled,2 cells,175,0.0360769596159026,0.0248154842113794,0.047726564657826
Th1_Tc1_inflammatory,Pooled,3-4 cells,129,0.0758449113010952,0.0628270080978048,0.0958387307001874
Th1_Tc1_inflammatory,Pooled,>=5 cells,105,0.0895562498555117,0.0705909253406001,0.1145299949770444
