module,clone_status,pt_mid,median_score_z,ci_low,ci_high,n_participants,n_cells
Cytotoxicity,Expanded,0.06821,-0.08500665928292059,-0.29229763442885004,0.03481119091561966,32,75
Cytotoxicity,Expanded,0.17149999999999999,-0.031780079178464225,-0.26612041400786945,0.06840954801764879,35,83
Cytotoxicity,Expanded,0.262,-0.02646762907680028,-0.09634359244417043,0.10015750069321497,47,104
Cytotoxicity,Expanded,0.357,0.10284207786829107,-0.10358455413763101,0.21543036070029997,66,154
Cytotoxicity,Expanded,0.453,0.1339019843225174,-0.024192821397966774,0.2364898383042242,66,158
Cytotoxicity,Expanded,0.5509999999999999,0.0948339532428176,-0.00219397546289894,0.19598807378489055,72,201
Cytotoxicity,Expanded,0.651,0.23043591625485035,0.11896347063796381,0.29996001184814125,69,198
Cytotoxicity,Expanded,0.7495,0.28144110829468666,0.22514065575855424,0.4074194918019473,67,219
Cytotoxicity,Expanded,0.8455,0.2690415968370401,0.20913440985832454,0.3513574260484419,75,270
Cytotoxicity,Expanded,0.946,0.3679581732649437,0.2174551519342969,0.476283123292805,75,314
Cytotoxicity,Singleton,0.06821,-0.41023862633210206,-0.4607813513765078,-0.33776346575804067,153,828
Cytotoxicity,Singleton,0.17149999999999999,-0.4038436792854331,-0.4556327381119896,-0.31553304218668426,159,819
Cytotoxicity,Singleton,0.262,-0.3529049133445502,-0.43417269492466265,-0.2766340608119714,153,798
Cytotoxicity,Singleton,0.357,-0.31647224169559585,-0.38633953535123544,-0.25573972551618207,158,748
Cytotoxicity,Singleton,0.453,-0.24456149899478047,-0.32151821737965247,-0.18596909727627653,160,744
Cytotoxicity,Singleton,0.5509999999999999,-0.16322543218867835,-0.2623832842814845,-0.06976801213897707,162,701
Cytotoxicity,Singleton,0.651,-0.00692683579896472,-0.09906709312849316,0.06668018721538067,158,704
Cytotoxicity,Singleton,0.7495,-0.012822998753263011,-0.10859708647807621,0.09451544480111765,154,683
Cytotoxicity,Singleton,0.8455,0.11459599143071003,0.04341782661242607,0.23125360502793432,145,632
Cytotoxicity,Singleton,0.946,0.32133939381359367,0.26029571638625043,0.46283716279666764,129,589
EOMES_ZEB2,Expanded,0.06821,-0.2118329501083474,-0.39182583037066676,-0.0531249890265443,32,75
