gamma_v,delta_v,n_cells,n_participant_carriers,n_participants,observed_mean_participant_fraction,expected_mean_participant_fraction,observed_to_expected_ratio,log2_observed_expected,permutation_p,n_permutations,permutation_scheme,batch_used,fdr
TRGV9,TRDV2,403,113,135,0.637289036626842,0.5967919408869613,1.0678579802530397,0.0947197885902673,9.999000099990002e-05,10000,TRD V labels shuffled among cells within participant,False,0.0005999400059994
TRGV10,TRDV2,24,19,135,0.0442256363824991,0.051531599385004,0.858223631913295,-0.2205744674264256,0.03999600039996,10000,TRD V labels shuffled among cells within participant,False,0.08726400087264
TRGV9,TRDV1,18,15,135,0.0359847148736037,0.0615807556784788,0.5843500047561065,-0.7750953441516129,9.999000099990002e-05,10000,TRD V labels shuffled among cells within participant,False,0.0005999400059994
TRGV4,TRDV1,19,11,135,0.0201210517877184,0.0161969991349386,1.2422703502104429,0.3129791755424504,0.2935706429357064,10000,TRD V labels shuffled among cells within participant,False,0.4697130286971303
TRGV3,TRDV1,13,11,135,0.0268498406510102,0.0265397716854117,1.0116831813503842,0.0167575664594737,0.8851114888511149,10000,TRD V labels shuffled among cells within participant,False,1.0
TRGV5,TRDV1,12,11,135,0.0308935920047031,0.0223020760430372,1.3852339102909732,0.4701296100097581,0.0026997300269973,10000,TRD V labels shuffled among cells within participant,False,0.0080991900809919
TRGV10,TRDV1,11,11,135,0.025867136978248,0.0196821299026955,1.3142448051166198,0.394234032305792,0.0917908209179082,10000,TRD V labels shuffled among cells within participant,False,0.1835816418358164
TRGV8,TRDV1,12,9,135,0.0145041616386645,0.0101212505340778,1.4330404716126424,0.5190793544502714,0.2092790720927907,10000,TRD V labels shuffled among cells within participant,False,0.3587641235876412
TRGV2,TRDV2,9,8,135,0.0124777691444358,0.0222869234686362,0.5598695199898461,-0.8368374548551323,9.999000099990002e-05,10000,TRD V labels shuffled among cells within participant,False,0.0005999400059994
TRGV2,TRDV1,8,8,135,0.0198478403707161,0.0172338326922796,1.1516788357593553,0.2037384540575761,0.3673632636736326,10000,TRD V labels shuffled among cells within participant,False,0.4898176848981769
TRGV3,TRDV2,8,8,135,0.010290731036345,0.0164343619589622,0.6261716190772562,-0.6753699743769098,0.0002999700029997,10000,TRD V labels shuffled among cells within participant,False,0.0014398560143985
TRGV8,TRDV2,8,8,135,0.0198971193415637,0.0221419988960819,0.8986144130412994,-0.1542258931902115,0.5182481751824818,10000,TRD V labels shuffled among cells within participant,False,0.6546292739147139
TRGV3,TRDV3,13,7,135,0.0199999999999999,0.0141664380429812,1.411787489510038,0.4975229420768398,0.0020997900209979,10000,TRD V labels shuffled among cells within participant,False,0.0071992800719928
TRGV2,TRDV3,7,7,135,0.0118694885361552,0.0046743418903912,2.5392854896973853,1.3444226050745962,0.0007999200079992,10000,TRD V labels shuffled among cells within participant,False,0.0031996800319968
TRGV4,TRDV2,7,7,135,0.010061186917912,0.0174256831006415,0.5773769016573949,-0.792414702122771,0.0234976502349765,10000,TRD V labels shuffled among cells within participant,False,0.0563943605639436
TRGV10,TRDV3,7,5,135,0.0143151087595532,0.0131941528326008,1.084958537404742,0.1176399099291634,0.5736426357364264,10000,TRD V labels shuffled among cells within participant,False,0.6883711628837117
TRGV4,TRDV3,6,5,135,0.0160493827160493,0.0126089391860996,1.272857492543267,0.3480709060344388,0.1217878212178782,10000,TRD V labels shuffled among cells within participant,False,0.2248390545560828
TRGV9,TRDV3,5,4,135,0.0078777189888301,0.0227787739238356,0.3458359530311188,-1.531840235845143,9.999000099990002e-05,10000,TRD V labels shuffled among cells within participant,False,0.0005999400059994
TRGV5,TRDV2,4,4,135,0.0071604938271604,0.0156125108479605,0.4586381970774322,-1.1245715820110058,0.0090990900909909,10000,TRD V labels shuffled among cells within participant,False,0.0242642402426424
TRGV5,TRDV3,4,4,135,0.0113315696649029,0.0114710686057687,0.9878390631544448,-0.0176520750423275,0.96010398960104,10000,TRD V labels shuffled among cells within participant,False,1.0
TRGV11,TRDV2,1,1,135,0.0012345679012345,0.0004115226337448,3.0,1.584962500721156,0.3406659334066593,10000,TRD V labels shuffled among cells within participant,False,0.4898176848981769
TRGV8,TRDV3,1,1,135,0.0018518518518518,0.0039898834019204,0.4641368344148868,-1.1073778989543963,0.3481651834816518,10000,TRD V labels shuffled among cells within participant,False,0.4898176848981769
