analysis,contrast,effect,ci_low,ci_high,median_participant_delta,p_value_wilcoxon,p_value_signflip_mean,signflip_draws,signflip_exact,n_participants,n_participant_state_strata,standardization,matching,batch_used,fdr_wilcoxon,fdr,direction,module
V-pair architecture,TRGV9-TRDV2 minus other paired gamma-delta,-0.0461334873737608,-0.2892641319589608,0.2112282558987606,-0.0337096761729727,0.5855877373542171,0.7236313818430908,200000,False,38,50,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.8732729347684653,0.8208908955455223,Reference group higher,EOMES_ZEB2_inflammatory_CD8_TRM_like
V-pair architecture,TRGV9-TRDV2 minus other paired gamma-delta,0.0386403025426042,-0.1869090871667258,0.2699431792965138,-0.0397206234294709,0.8973613591879257,0.7435912820435898,200000,False,38,50,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.8973613591879257,0.8208908955455223,Focal group higher,Effector_cytotoxicity
V-pair architecture,TRGV9-TRDV2 minus other paired gamma-delta,0.0407132985767368,-0.3007965196139082,0.3920416811250808,0.1510224729691389,0.6880195610428927,0.8208908955455223,200000,False,38,50,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.8732729347684653,0.8208908955455223,Focal group higher,Th1_Tc1_inflammatory
V-pair architecture,TRGV9-TRDV2 minus other paired gamma-delta,-0.2851438373337663,-0.6811702027981813,0.1086776036400314,-0.0729000095178082,0.2316133619169704,0.1731541342293288,200000,False,38,50,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.8732729347684653,0.8208908955455223,Reference group higher,Tissue_resident_mucosal_retention
V-pair architecture,TRGV9-TRDV2 minus other paired gamma-delta,-0.0584270506941495,-0.3557944291543021,0.2440121449257716,0.0959080522603775,0.6986183478147723,0.7082764586177069,200000,False,38,50,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.8732729347684653,0.8208908955455223,Reference group higher,Gut_homing_intestinal_trafficking
Clonotype expansion,Expanded minus singleton paired gamma-delta,0.1822239483681335,-0.0269470816227225,0.36861238091069,0.1559188495321748,0.0342330932617187,0.097869873046875,262144,True,18,34,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.0570551554361979,0.163116455078125,Focal group higher,EOMES_ZEB2_inflammatory_CD8_TRM_like
Clonotype expansion,Expanded minus singleton paired gamma-delta,0.3078190190632202,0.0713153074377349,0.5467451497041653,0.2308186721997517,0.0342330932617187,0.0253143310546875,262144,True,18,34,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.0570551554361979,0.0632858276367187,Focal group higher,Effector_cytotoxicity
Clonotype expansion,Expanded minus singleton paired gamma-delta,0.2226028444551986,-0.1011244894122569,0.5341306835215954,0.4039504035661191,0.1814651489257812,0.1941757202148437,262144,True,18,34,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.2268314361572265,0.2427196502685547,Focal group higher,Th1_Tc1_inflammatory
Clonotype expansion,Expanded minus singleton paired gamma-delta,0.5908618333875345,0.2370109892174046,0.9865939140378897,0.4398594677757077,0.010406494140625,0.0051651000976562,262144,True,18,34,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.052032470703125,0.0258255004882812,Focal group higher,Tissue_resident_mucosal_retention
Clonotype expansion,Expanded minus singleton paired gamma-delta,-0.1038162062119675,-0.5089348947934935,0.3144032366511894,-0.1676230433165182,0.5798416137695312,0.6357803344726562,262144,True,18,34,Module-specific SD across all productive paired gamma-delta cells,Within participant and observed transcriptomic state; matched-state deltas equally weighted,False,0.5798416137695312,0.6357803344726562,Reference group higher,Gut_homing_intestinal_trafficking
