configuration,feature_set,score_adjustment,node_subset,module,pooled_edge_correlation,ci_low,ci_high,tau2,I2_percent,Q,n_series,n_series_positive,total_edges,minimum_nodes_per_series,maximum_nodes_per_series
Paired alpha-beta baseline,paired_vj,raw,all,Th1_Tc1_inflammatory,0.1303801778451519,0.0860292794374013,0.1747310762529026,0.0,0.0,5.87241097492582,8,8,5548,1736,8611
Paired alpha-beta baseline,paired_vj,raw,all,Effector_cytotoxicity,0.1687632876928024,0.0983050627102935,0.2392215126753114,0.0045306692721904,50.0199589903641,14.00559074901606,8,8,5548,1736,8611
Paired alpha-beta baseline,paired_vj,raw,all,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.1522156316490529,0.0869400532659371,0.2174912100321687,0.003107860107179,38.33701015309504,11.352028205864478,8,8,5548,1736,8611
Paired alpha-beta baseline,paired_vj,raw,all,Tissue_resident_mucosal_retention,0.0221612236311069,-0.0154277374813287,0.0597501847435427,0.0,0.0,5.210959509237656,8,6,5548,1736,8611
Paired alpha-beta baseline,paired_vj,raw,all,Gut_homing_intestinal_trafficking,-0.0014896011756941,-0.0440232684264536,0.0410440660750653,0.0,0.0,3.967092100990268,8,3,5548,1736,8611
Clone-size adjusted,paired_vj,clone_size_adjusted,all,Th1_Tc1_inflammatory,0.1321189323219468,0.0874892760699877,0.1767485885739059,0.0001237081989312,2.767442979807485,7.199234715740627,8,8,5548,1736,8611
Clone-size adjusted,paired_vj,clone_size_adjusted,all,Effector_cytotoxicity,0.1615050220711251,0.0896004197687781,0.2334096243734721,0.0039618020195034,39.52524178381562,11.575077282618462,8,8,5548,1736,8611
Clone-size adjusted,paired_vj,clone_size_adjusted,all,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.1310487912173794,0.0732029649538648,0.1888946174808939,0.0008873231336568,12.570911013470791,8.006488551057117,8,8,5548,1736,8611
Clone-size adjusted,paired_vj,clone_size_adjusted,all,Tissue_resident_mucosal_retention,0.0230508809928496,-0.0148822110615363,0.0609839730472356,0.0,0.0,5.569773726144838,8,6,5548,1736,8611
Clone-size adjusted,paired_vj,clone_size_adjusted,all,Gut_homing_intestinal_trafficking,-0.003544923484549,-0.045425113589504,0.0383352666204059,0.0,0.0,3.8284483389128687,8,3,5548,1736,8611
Singleton clonotypes only,paired_vj,raw,singleton,Th1_Tc1_inflammatory,0.1519527103500518,0.1011859207058126,0.202719499994291,0.0004673675973125,8.350101336963291,7.637760763638648,8,8,4761,1726,8398
Singleton clonotypes only,paired_vj,raw,singleton,Effector_cytotoxicity,0.2058482811886794,0.1235602612251702,0.2881363011521886,0.0074215031147723,59.10326086169592,17.116279066473947,8,8,4761,1726,8398
Singleton clonotypes only,paired_vj,raw,singleton,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.1697790384471146,0.1037383120215325,0.2358197648726968,0.0028144047041474,33.76886585390027,10.569047458191868,8,8,4761,1726,8398
Singleton clonotypes only,paired_vj,raw,singleton,Tissue_resident_mucosal_retention,0.0187179902456631,-0.0231765482074212,0.0606125286987476,0.0,0.0,4.67898894026788,8,6,4761,1726,8398
Singleton clonotypes only,paired_vj,raw,singleton,Gut_homing_intestinal_trafficking,0.0081911885087901,-0.0361667692962245,0.0525491463138048,0.0,0.0,2.601022753839233,8,5,4761,1726,8398
Dominant-state adjusted,paired_vj,state_adjusted,all,Th1_Tc1_inflammatory,0.0393300844728965,-0.0031203043885429,0.081780473334336,0.0,0.0,3.985039250984397,8,6,5548,1736,8611
Dominant-state adjusted,paired_vj,state_adjusted,all,Effector_cytotoxicity,0.0192426836646693,-0.0204562801492835,0.0589416474786223,0.0,0.0,4.586296753910791,8,5,5548,1736,8611
Dominant-state adjusted,paired_vj,state_adjusted,all,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.0281271628662229,-0.0072802335951641,0.06353455932761,0.0002266521983948,7.725262884933039,7.586041660862141,8,7,5548,1736,8611
Dominant-state adjusted,paired_vj,state_adjusted,all,Tissue_resident_mucosal_retention,0.0015819380396804,-0.0370104114217923,0.0401742875011531,0.0,0.0,3.216732970207559,8,4,5548,1736,8611
Dominant-state adjusted,paired_vj,state_adjusted,all,Gut_homing_intestinal_trafficking,-0.0155395822187571,-0.0576156497100865,0.0265364852725722,0.0,0.0,4.940000903280863,8,3,5548,1736,8611
Paired CDR3 only,paired_cdr3,raw,all,Th1_Tc1_inflammatory,0.0915658261157934,0.051089534622843,0.1320421176087438,0.0,0.0,6.559452658790911,8,8,5959,1736,8611
Paired CDR3 only,paired_cdr3,raw,all,Effector_cytotoxicity,0.1220770408625236,0.0557725271209012,0.1883815546041461,0.0039345879776646,50.25586847054806,14.072011682132835,8,8,5959,1736,8611
Paired CDR3 only,paired_cdr3,raw,all,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.1191698548125491,0.0590003415648259,0.1793393680602724,0.0026818228212287,39.52914578462747,11.57582457007942,8,8,5959,1736,8611
Paired CDR3 only,paired_cdr3,raw,all,Tissue_resident_mucosal_retention,0.0092919190032917,-0.0244874535650509,0.0430712915716344,0.0,0.0,3.8306063652581663,8,4,5959,1736,8611
Paired CDR3 only,paired_cdr3,raw,all,Gut_homing_intestinal_trafficking,0.0006168913682099,-0.0378166756882917,0.0390504584247117,0.0,0.0,1.2199071061474385,8,5,5959,1736,8611
Alpha chain only,alpha,raw,all,Th1_Tc1_inflammatory,0.0291775705469016,0.0180526443639818,0.0403024967298214,5.902800960585866e-05,23.43638491936412,9.142723985312976,8,8,128387,1736,8611
Alpha chain only,alpha,raw,all,Effector_cytotoxicity,0.0402199005951075,0.0282941485468173,0.0521456526433978,0.0,0.0,6.043989063377749,8,8,128387,1736,8611
Alpha chain only,alpha,raw,all,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.0357897103247784,0.0246992675222608,0.046880153127296,5.617193889034281e-06,2.117313122944964,7.15141790988258,8,8,128387,1736,8611
Alpha chain only,alpha,raw,all,Tissue_resident_mucosal_retention,0.0022944358897036,-0.0054610226163368,0.0100498943957441,0.0,0.0,3.470761525208258,8,5,128387,1736,8611
Alpha chain only,alpha,raw,all,Gut_homing_intestinal_trafficking,0.0121107560263345,0.0031747893084314,0.0210467227442377,3.789114585271283e-05,23.325681703518686,9.12952362084612,8,6,128387,1736,8611
Beta chain only,beta,raw,all,Th1_Tc1_inflammatory,0.0559129107192184,0.0330274106810449,0.0787984107573919,0.0,0.0,2.803744956063987,8,7,31551,1736,8611
Beta chain only,beta,raw,all,Effector_cytotoxicity,0.0817372596311647,0.0601419025392072,0.1033326167231222,0.0,0.0,5.910447829445907,8,8,31551,1736,8611
Beta chain only,beta,raw,all,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.0762377133829212,0.0504893234094566,0.1019861033563858,0.0,0.0,5.098331184433505,8,8,31551,1736,8611
