stratum,module,n_series,meta_z,meta_p,n_series_positive,n_series_nominal_p_lt_005,total_edges,meta_FDR
All,Dominant_state_concordance,8,1.5352896701999361,0.12471269037960704,8,0,5548,0.14965522845552845
All,EOMES_ZEB2_inflammatory_CD8_TRM_like,8,8.028449485916436,9.871224007555427e-16,8,6,5548,2.961367202266628e-15
All,Effector_cytotoxicity,8,7.875240097113628,3.4008913403643588e-15,8,6,5548,6.801782680728717e-15
All,Gut_homing_intestinal_trafficking,8,-0.1323830319945123,0.8946813350566333,3,1,5548,0.8946813350566333
All,Th1_Tc1_inflammatory,8,8.414484048962233,3.94627967385431e-17,8,7,5548,2.367767804312586e-16
All,Tissue_resident_mucosal_retention,8,2.1892054114160886,0.02858191351786594,6,1,5548,0.04287287027679891
CD,Dominant_state_concordance,3,1.603659579082897,0.10878911025318758,3,1,1023,0.13054693230382508
CD,EOMES_ZEB2_inflammatory_CD8_TRM_like,3,4.3636329416855535,1.2792014369232586e-05,3,1,1023,3.8376043107697757e-05
CD,Effector_cytotoxicity,3,5.096035602205688,3.4683992765208096e-07,3,3,1023,2.0810395659124856e-06
CD,Gut_homing_intestinal_trafficking,3,-0.21410774718816616,0.8304630345012044,2,1,1023,0.8304630345012044
CD,Th1_Tc1_inflammatory,3,4.12344733938745,3.7324382192008636e-05,3,2,1023,7.464876438401727e-05
CD,Tissue_resident_mucosal_retention,3,2.1634794557078774,0.030504322189384415,3,0,1023,0.045756483284076624
UC,Dominant_state_concordance,4,1.3208503465337151,0.18655126862963967,4,0,1922,0.2798269029444595
UC,EOMES_ZEB2_inflammatory_CD8_TRM_like,4,5.161809225179925,2.445744725849566e-07,4,4,1922,7.337234177548698e-07
UC,Effector_cytotoxicity,4,4.955526619916788,7.21346453111329e-07,4,3,1922,1.442692906222658e-06
UC,Gut_homing_intestinal_trafficking,4,-0.6363586193744438,0.5245427056862786,1,0,1922,0.6048181415955123
UC,Th1_Tc1_inflammatory,4,6.065940356538969,1.3118381009118495e-09,4,4,1922,7.871028605471097e-09
UC,Tissue_resident_mucosal_retention,4,0.51748427742768,0.6048181415955123,2,0,1922,0.6048181415955123
