Diagnosis,T_feature,B_feature,T_label,B_label,n,partial_rho,ci_low,ci_high,series_block_permutation_p,FDR_within_diagnosis,pair_label
CD,cd4_mean_Tph_core,b_mean_Plasmablast_plasma_differentiation,Tph,Plasma differentiation,120,0.6508924125689748,0.5316656248226792,0.7448236086955151,0.0003332222592469,0.0006664445184938,Tph → plasma differentiation
UC,cd4_mean_Tph_core,b_mean_Plasmablast_plasma_differentiation,Tph,Plasma differentiation,87,0.6636747966544678,0.5228239621276036,0.7692497547642717,0.0003332222592469,0.0007997334221926,Tph → plasma differentiation
Control,cd4_mean_Tph_core,b_mean_Plasmablast_plasma_differentiation,Tph,Plasma differentiation,35,0.5885876268897898,0.2959701990795321,0.7802101685141629,0.0003332222592469,0.0013328890369876,Tph → plasma differentiation
CD,cd4_mean_Tph_core,b_mean_IgA_mucosal_plasma_cell,Tph,IgA mucosal plasma,120,0.5515008918616934,0.4104517620114833,0.6667766615183834,0.0003332222592469,0.0006664445184938,Tph → IgA mucosal plasma
UC,cd4_mean_Tph_core,b_mean_IgA_mucosal_plasma_cell,Tph,IgA mucosal plasma,87,0.6157247942336563,0.4612951677523959,0.733944512391135,0.0003332222592469,0.0007997334221926,Tph → IgA mucosal plasma
Control,cd4_mean_Tph_core,b_mean_IgA_mucosal_plasma_cell,Tph,IgA mucosal plasma,35,0.5324653503776496,0.2195417607211842,0.7460491101507282,0.0006664445184938,0.0017771853826502,Tph → IgA mucosal plasma
CD,cd4_mean_Tph_core,b_mean_B_cell_antigen_presentation,Tph,B-cell antigen presentation,120,0.6185319117169407,0.4916564560951714,0.7196916832539038,0.0003332222592469,0.0006664445184938,Tph → B-cell antigen presentation
UC,cd4_mean_Tph_core,b_mean_B_cell_antigen_presentation,Tph,B-cell antigen presentation,87,0.77508486485126,0.6716842231274356,0.8488644331026052,0.0003332222592469,0.0007997334221926,Tph → B-cell antigen presentation
Control,cd4_mean_Tph_core,b_mean_B_cell_antigen_presentation,Tph,B-cell antigen presentation,35,0.7361099923797312,0.5164818505550047,0.8648663327187096,0.0003332222592469,0.0013328890369876,Tph → B-cell antigen presentation
CD,cd4_mean_Tfh_core,b_mean_Plasmablast_plasma_differentiation,Tfh,Plasma differentiation,120,0.6214781743047415,0.4952770608209995,0.7219908419653354,0.0003332222592469,0.0006664445184938,Tfh → plasma differentiation
UC,cd4_mean_Tfh_core,b_mean_Plasmablast_plasma_differentiation,Tfh,Plasma differentiation,87,0.7016152682502631,0.5725714259142624,0.7967355476163472,0.0003332222592469,0.0007997334221926,Tfh → plasma differentiation
Control,cd4_mean_Tfh_core,b_mean_Plasmablast_plasma_differentiation,Tfh,Plasma differentiation,35,0.5218907161480087,0.2055585767689771,0.7394840565617965,0.0013328890369876,0.0026657780739753,Tfh → plasma differentiation
CD,cd4_mean_Tfh_core,b_mean_IgA_mucosal_plasma_cell,Tfh,IgA mucosal plasma,120,0.526712792993645,0.3809783439032109,0.6469097886271432,0.0003332222592469,0.0006664445184938,Tfh → IgA mucosal plasma
UC,cd4_mean_Tfh_core,b_mean_IgA_mucosal_plasma_cell,Tfh,IgA mucosal plasma,87,0.6488691040728111,0.503667575424106,0.7584167950475833,0.0003332222592469,0.0007997334221926,Tfh → IgA mucosal plasma
Control,cd4_mean_Tfh_core,b_mean_IgA_mucosal_plasma_cell,Tfh,IgA mucosal plasma,35,0.4416265198962772,0.1034727576188057,0.6882666859277735,0.0046651116294568,0.0074641786071309,Tfh → IgA mucosal plasma
CD,cd4_clone_delta_Tph_core,b_mean_Plasmablast_plasma_differentiation,Clone-associated Tph,Plasma differentiation,18,0.1653162193310056,-0.4003912812153636,0.6397849841168607,0.4888370543152283,0.5332767865257035,Clone-associated Tph → plasma differentiation
UC,cd4_clone_delta_Tph_core,b_mean_Plasmablast_plasma_differentiation,Clone-associated Tph,Plasma differentiation,21,0.2454681684961482,-0.2666439324048471,0.6494903433720081,0.3028990336554482,0.3634788403865377,Clone-associated Tph → plasma differentiation
Control,cd4_clone_delta_Tph_core,b_mean_Plasmablast_plasma_differentiation,Clone-associated Tph,Plasma differentiation,5,,,,,,Clone-associated Tph → plasma differentiation
CD,cd4_clone_delta_Tph_core,b_mean_IgA_mucosal_plasma_cell,Clone-associated Tph,IgA mucosal plasma,18,0.0054051886139575,-0.526692630614401,0.5344597031115317,0.9736754415194936,0.9736754415194936,Clone-associated Tph → IgA mucosal plasma
UC,cd4_clone_delta_Tph_core,b_mean_IgA_mucosal_plasma_cell,Clone-associated Tph,IgA mucosal plasma,21,0.3621859634778634,-0.1434363967653023,0.7178677821810804,0.0919693435521492,0.1576617318036845,Clone-associated Tph → IgA mucosal plasma
Control,cd4_clone_delta_Tph_core,b_mean_IgA_mucosal_plasma_cell,Clone-associated Tph,IgA mucosal plasma,5,,,,,,Clone-associated Tph → IgA mucosal plasma
CD,cd4_clone_delta_Tfh_core,b_mean_Plasmablast_plasma_differentiation,Clone-associated Tfh,Plasma differentiation,18,0.2699927621264276,-0.3041680556982757,0.7002639432280469,0.4485171609463512,0.5332767865257035,Clone-associated Tfh → plasma differentiation
UC,cd4_clone_delta_Tfh_core,b_mean_Plasmablast_plasma_differentiation,Clone-associated Tfh,Plasma differentiation,21,0.191210427092547,-0.3187353370966547,0.6153119185279481,0.4005331556147951,0.4369452606706855,Clone-associated Tfh → plasma differentiation
Control,cd4_clone_delta_Tfh_core,b_mean_Plasmablast_plasma_differentiation,Clone-associated Tfh,Plasma differentiation,5,,,,,,Clone-associated Tfh → plasma differentiation
