mechanism,context,disease_color,analysis,contrast,group,sender,receiver,ligand,receptor,exact_interaction,prioritization_score,fraction_expressing_ligand_receptor,rank_within_contrast_direction,max_scaled_activity,context_order,mechanism_order
B-cell MHC-II → Tfh,CD inflamed,CD,CD_inflammation,Inflamed-Noninflamed,Inflamed,B_NaiveTransitional,Tfh,HLA.DMA,CD4,B_NaiveTransitional: HLA.DMA–CD4 → Tfh,0.7849586586628972,0.8548387096774194,17,0.6410532337018919,0,0
B-cell MHC-II → Tfh,UC inflamed,UC,UC_inflammation,Inflamed-Noninflamed,Inflamed,B_AtypicalMemory,Tfh,HLA.DPB1,CD4,B_AtypicalMemory: HLA.DPB1–CD4 → Tfh,0.8938912558161324,1.0,1,0.5912429633055231,1,0
B-cell MHC-II → Tfh,CD > UC,CD,CD_vs_UC_shared_series,CD-UC,CD,B_AtypicalMemory,Tfh,HLA.DQB1,CD4,B_AtypicalMemory: HLA.DQB1–CD4 → Tfh,0.7116017239048642,0.859375,199,0.3923150913098704,2,0
B-cell MHC-II → Tfh,CD > Control,CD,S6_diagnosis,CD-Control,CD,B_AtypicalMemory,Tfh,HLA.DQB1,CD4,B_AtypicalMemory: HLA.DQB1–CD4 → Tfh,0.5240178168049786,0.2727272727272727,1499,0.7994343927166362,3,0
B-cell MHC-II → Tfh,UC > Control,UC,S6_diagnosis,UC-Control,UC,B_NaiveTransitional,Tfh,HLA.DOA,CD4,B_NaiveTransitional: HLA.DOA–CD4 → Tfh,0.7890963979580008,1.0,42,0.6861179624661796,4,0
B-cell MHC-II → Th17,CD inflamed,CD,CD_inflammation,Inflamed-Noninflamed,Inflamed,B_NaiveTransitional,Th17,HLA.DMA,CD4,B_NaiveTransitional: HLA.DMA–CD4 → Th17,0.7903293629520374,0.9516129032258064,14,0.6185577567581635,0,1
B-cell MHC-II → Th17,UC inflamed,UC,UC_inflammation,Inflamed-Noninflamed,Inflamed,B_AtypicalMemory,Th17,HLA.DPB1,CD4,B_AtypicalMemory: HLA.DPB1–CD4 → Th17,0.8479588773322577,1.0,6,0.2571045523968583,1,1
B-cell MHC-II → Th17,CD > UC,CD,CD_vs_UC_shared_series,CD-UC,CD,B_AtypicalMemory,Th17,HLA.DRA,CD4,B_AtypicalMemory: HLA.DRA–CD4 → Th17,0.8839978926422418,0.96875,1,0.8372870634557907,2,1
B-cell MHC-II → Th17,CD > Control,CD,S6_diagnosis,CD-Control,CD,B_AtypicalMemory,Th17,HLA.DRA,CD4,B_AtypicalMemory: HLA.DRA–CD4 → Th17,0.8499442571098921,1.0,29,0.5444612857606318,3,1
B-cell MHC-II → Th17,UC > Control,UC,S6_diagnosis,UC-Control,UC,B_NaiveTransitional,Th17,HLA.DOA,CD4,B_NaiveTransitional: HLA.DOA–CD4 → Th17,0.7687385001803613,1.0,60,0.4365407760432931,4,1
B-cell CD86 → Treg/Th17,CD inflamed,CD,CD_inflammation,Inflamed-Noninflamed,Inflamed,B_AtypicalMemory,Th17,CD86,CD28,B_AtypicalMemory: CD86–CD28 → Th17,0.6815484258444352,0.8225806451612904,259,0.4633584647624124,0,2
