outcome,model,rho,ci_low,ci_high,n,loo_participant_low,loo_participant_high,loo_series_low,loo_series_high
bcr_IgA_mucosal_module,Primary,0.4954498339214421,0.2309156288770082,0.6892699142983395,56,0.46440182086252546,0.5345501099338147,0.4074088915304987,0.5247971912918606
bcr_IgA_mucosal_module,+ acquisition series,0.3279008544340065,-0.027215709054509575,0.6357298088723542,56,,,,
bcr_IgA_mucosal_module,+ inflammation status,0.5020354124864439,0.22525433466841166,0.698240062995039,56,,,,
bcr_IgA_mucosal_module,+ biologic exposure,0.4219873202167492,0.08466016342334504,0.6520056710715676,47,,,,
bcr_IgA_mucosal_module,+ cell-state composition,0.47615197268107146,0.21706866395712562,0.6869838188755243,56,,,,
bcr_plasma_differentiation_module,Primary,0.5889329559904399,0.3942950807023342,0.7270062338275998,56,0.5672076630373334,0.6210431338275516,0.5131572155384008,0.6065161925313803
bcr_plasma_differentiation_module,+ acquisition series,0.4854712431122517,0.18009819001089505,0.6914949028532406,56,,,,
bcr_plasma_differentiation_module,+ inflammation status,0.6057393239023945,0.4014870830288263,0.7404754492452823,56,,,,
bcr_plasma_differentiation_module,+ biologic exposure,0.5429839407451434,0.2907155680331812,0.7018935833922979,47,,,,
bcr_plasma_differentiation_module,+ cell-state composition,0.5728708636867592,0.3838929752959125,0.7187242992030198,56,,,,
