outcome,module,model,estimate_per_program_SD,SE,ci_low,ci_high,p_value,n_lineages,n_participants,outcome_scale,FDR
SHM/germline distance,IgA_mucosal_plasma_cell,participant_fixed_effect,0.055116746764286746,0.006293868100292731,0.04278076528771299,0.0674527282408605,2.0013633582481404e-18,25413,182,outcome SD,2.0013633582481402e-17
SHM/germline distance,IgA_mucosal_plasma_cell,plus_pseudotime,0.05808215810181654,0.0062481813112311,0.045835722731803585,0.0703285934718295,1.4603422046807928e-20,25413,182,outcome SD,9.735614697871952e-20
SHM/germline distance,IgA_mucosal_plasma_cell,IBD_vs_control_interaction,-0.042067711136398483,0.01668995739946384,-0.0747800276393476,-0.009355394633449358,0.011717480171434235,25413,182,outcome SD,0.11717480171434236
SHM/germline distance,IgA_mucosal_plasma_cell,Control_stratified,0.09500442124469387,0.014952594551794547,0.06569733592317656,0.12431150656621118,2.1018550082593037e-10,3705,24,outcome SD,2.1018550082593038e-09
SHM/germline distance,IgA_mucosal_plasma_cell,IBD_stratified,0.05168351503222759,0.006763856529581128,0.03842635623424858,0.0649406738302066,2.153215410214518e-14,21708,158,outcome SD,1.435476940143012e-13
SHM/germline distance,plasmablast_plasma_cell_differentiation,participant_fixed_effect,0.04590249544171952,0.0062069039171703455,0.03373696376406564,0.058068027119373394,1.40990368951332e-13,25413,182,outcome SD,7.0495184475666e-13
SHM/germline distance,plasmablast_plasma_cell_differentiation,plus_pseudotime,0.050753181569492,0.006058006098216889,0.038879489616986895,0.0626268735219971,5.3894576137933435e-17,25413,182,outcome SD,2.6947288068966716e-16
SHM/germline distance,plasmablast_plasma_cell_differentiation,IBD_vs_control_interaction,-0.026897451276161912,0.016756587201230744,-0.05974036219057417,0.005945459638250345,0.10845271875154332,25413,182,outcome SD,0.3615090625051444
SHM/germline distance,plasmablast_plasma_cell_differentiation,Control_stratified,0.075080486733405,0.014945533191557305,0.045787241677952686,0.10437373178885732,5.070992367642353e-07,3705,24,outcome SD,2.5354961838211768e-06
SHM/germline distance,plasmablast_plasma_cell_differentiation,IBD_stratified,0.04687619273079027,0.006696746099112527,0.03375057037652972,0.06000181508505083,2.5624364502529344e-12,21708,158,outcome SD,1.2812182251264672e-11
SHM/germline distance,antibody_secretion_UPR,participant_fixed_effect,-0.003094347639290484,0.005846169532447284,-0.01455283992288716,0.008364144644306192,0.5966009022727361,25413,182,outcome SD,0.7018834144385131
SHM/germline distance,antibody_secretion_UPR,plus_pseudotime,0.0022738658079079826,0.005693190871327252,-0.00888478829989343,0.013432519915709398,0.6895977985567968,25413,182,outcome SD,0.7275148540779802
SHM/germline distance,antibody_secretion_UPR,IBD_vs_control_interaction,-0.014493606010586189,0.01399009621742762,-0.04191419459674432,0.012926982575571946,0.30020660004748634,25413,182,outcome SD,0.5003443334124772
SHM/germline distance,antibody_secretion_UPR,Control_stratified,0.015571111202566927,0.011532971624507619,-0.0070335131814680055,0.03817573558660186,0.17697149986624394,3705,24,outcome SD,0.2528164283803485
SHM/germline distance,antibody_secretion_UPR,IBD_stratified,0.0017112216713815174,0.0064923921882487695,-0.011013867017586072,0.014436310360349106,0.7921086827652414,21708,158,outcome SD,0.7921086827652414
SHM/germline distance,IgG_inflammatory_plasma_cell,participant_fixed_effect,-0.004006639111305199,0.006709754827917643,-0.017157758574023782,0.009144480351413383,0.5504162905669835,25413,182,outcome SD,0.7018834144385131
SHM/germline distance,IgG_inflammatory_plasma_cell,plus_pseudotime,-0.0003987105063643561,0.006611971029079189,-0.013358173723359568,0.012560752710630854,0.9519156596258038,25413,182,outcome SD,0.9519156596258039
SHM/germline distance,IgG_inflammatory_plasma_cell,IBD_vs_control_interaction,-0.03540932113365783,0.02152309037148647,-0.07759457826177131,0.0067759359944556535,0.09993304805966469,25413,182,outcome SD,0.3615090625051444
SHM/germline distance,IgG_inflammatory_plasma_cell,Control_stratified,0.030574731095176173,0.020315004047452217,-0.009242676837830172,0.07039213902818252,0.13231585081479377,3705,24,outcome SD,0.2528164283803485
SHM/germline distance,IgG_inflammatory_plasma_cell,IBD_stratified,-0.00531323104689861,0.006823448342079329,-0.018687189797374094,0.008060727703576874,0.43617270543627773,21708,158,outcome SD,0.6710349314404274
SHM/germline distance,cell_cycle_proliferating_B_cell,participant_fixed_effect,0.001590153004747632,0.00567940528825724,-0.009541481360236559,0.012721787369731822,0.7794883761490332,25413,182,outcome SD,0.7794883761490332
SHM/germline distance,cell_cycle_proliferating_B_cell,plus_pseudotime,0.0036819740634522575,0.005623211762263571,-0.0073395209905843415,0.014703469117488856,0.5126085543015404,25413,182,outcome SD,0.6834780724020538
SHM/germline distance,cell_cycle_proliferating_B_cell,IBD_vs_control_interaction,-0.01576353064844679,0.014173685000152422,-0.043543953248745534,0.012016891951851957,0.26606556747811017,25413,182,outcome SD,0.5003443334124772
