participant,tissue,disease,module,expansion_bin,value,n_cells
C12,R,healthy,Plasma differentiation,1,3.3993292058788547,519
C12,R,healthy,Plasma differentiation,2,3.3193145456553887,132
C12,R,healthy,Plasma differentiation,3–4,3.106581299726914,95
C12,R,healthy,Plasma differentiation,≥5,2.976010168820087,35
C12,R,healthy,Antibody secretion/UPR,1,2.6744347938641218,519
C12,R,healthy,Antibody secretion/UPR,2,2.5905978333608433,132
C12,R,healthy,Antibody secretion/UPR,3–4,2.4596570318266537,95
C12,R,healthy,Antibody secretion/UPR,≥5,2.4678386441296998,35
C12,R,healthy,IgA mucosal,1,4.028121401263009,519
C12,R,healthy,IgA mucosal,2,3.987952085272707,132
C12,R,healthy,IgA mucosal,3–4,3.886849238607504,95
C12,R,healthy,IgA mucosal,≥5,3.4721746451941002,35
C12,R,healthy,IgG inflammatory,1,2.1290520570777343,519
C12,R,healthy,IgG inflammatory,2,2.0963812057137536,132
C12,R,healthy,IgG inflammatory,3–4,2.004454766816247,95
C12,R,healthy,IgG inflammatory,≥5,1.9608556936715886,35
C12,R,healthy,Cycling B,1,0.0,519
C12,R,healthy,Cycling B,2,0.0,132
C12,R,healthy,Cycling B,3–4,0.0,95
C12,R,healthy,Cycling B,≥5,0.0,35
C12,pBMC,healthy,Plasma differentiation,1,0.6497363853732508,69
C12,pBMC,healthy,Plasma differentiation,2,0.7172952268916177,6
C12,pBMC,healthy,Antibody secretion/UPR,1,1.2466340529873043,69
C12,pBMC,healthy,Antibody secretion/UPR,2,0.8524866688473127,6
C12,pBMC,healthy,IgA mucosal,1,0.4261694461116089,69
C12,pBMC,healthy,IgA mucosal,2,0.2424380738943928,6
C12,pBMC,healthy,IgG inflammatory,1,0.90896071969936,69
C12,pBMC,healthy,IgG inflammatory,2,0.22039824899490254,6
C12,pBMC,healthy,Cycling B,1,0.0,69
C12,pBMC,healthy,Cycling B,2,0.2782116668991385,6
C16,R,healthy,Plasma differentiation,1,2.568370240519239,168
C16,R,healthy,Plasma differentiation,2,2.2776050652377045,26
C16,R,healthy,Plasma differentiation,3–4,1.5075825935246843,10
C16,R,healthy,Plasma differentiation,≥5,1.9535951181864593,12
C16,R,healthy,Antibody secretion/UPR,1,2.0410563017766292,168
C16,R,healthy,Antibody secretion/UPR,2,2.1630199546576137,26
C16,R,healthy,Antibody secretion/UPR,3–4,1.760891649018247,10
C16,R,healthy,Antibody secretion/UPR,≥5,1.8007479148627377,12
C16,R,healthy,IgA mucosal,1,3.22775887996091,168
C16,R,healthy,IgA mucosal,2,3.1329215616538866,26
C16,R,healthy,IgA mucosal,3–4,2.8310176535975415,10
