T_module,B_module,rho,p,n,fdr
GZMK memory,Plasma differentiation,0.035714285714285705,0.8994469934720875,15,0.8994469934720875
GZMK memory,Antibody secretion/UPR,-0.33928571428571425,0.2160289253419548,15,0.4932551309120889
GZMK memory,IgA mucosal,-0.05357142857142857,0.8496099367776072,15,0.8994469934720875
GZMK memory,IgG inflammatory,-0.2821428571428571,0.30828445682005556,15,0.4932551309120889
Th17/IL23,Plasma differentiation,0.24285714285714283,0.38312834183934175,15,0.5572775881299517
Th17/IL23,Antibody secretion/UPR,0.10357142857142855,0.7133796306287292,15,0.8780056992353591
Th17/IL23,IgA mucosal,0.37499999999999994,0.16843274984674558,15,0.4932551309120889
Th17/IL23,IgG inflammatory,0.12857142857142856,0.6479163294665075,15,0.8638884392886766
Activated Treg,Plasma differentiation,0.571379330861639,0.026078996362817134,15,0.41726394180507415
Activated Treg,Antibody secretion/UPR,0.3389538403416502,0.21650725052732955,15,0.4932551309120889
Activated Treg,IgA mucosal,-0.04067446084099803,0.8855611206531764,15,0.8994469934720875
Activated Treg,IgG inflammatory,0.4009339711469806,0.1385873288229211,15,0.4932551309120889
Tph/Tfh help,Plasma differentiation,0.4021449326983562,0.13728798705084608,15,0.4932551309120889
Tph/Tfh help,Antibody secretion/UPR,-0.4361038381262174,0.10414841004980792,15,0.4932551309120889
Tph/Tfh help,IgA mucosal,0.2949062839787946,0.28595293661722243,15,0.4932551309120889
Tph/Tfh help,IgG inflammatory,-0.2823951082948457,0.30783356127812966,15,0.4932551309120889
