"Nhood","logFC","logCPM","F","PValue","FDR","SpatialFDR","Nhood_center","Celltype","Celltype_fraction"
1,-0.339437406979276,6.79915010388584,0.526433235973385,0.468751088816218,0.576655061683405,0.577228687458707,"267647","CD4 Naive",0.294117647058824
2,-0.359166959836843,6.90511957748954,0.59346666564812,0.441768539296057,0.551571931262234,0.551854261662779,"273935","CD4 Naive",0.677631578947368
3,-0.242090145736319,6.85236783453527,0.2310380510094,0.631152122595376,0.720129449841664,0.720612734006901,"368243","NK CD56dim CD57+",0.186206896551724
4,1.68550863343142,6.62651050897309,11.5866540659683,0.000767192316766397,0.00299014082139598,0.00291056387608589,"102917","CD14 Monocyte",0.621951219512195
5,-3.30164844524517,7.10683823769298,41.5170541056296,5.52730260115194e-10,8.82964729845134e-09,7.76215847113889e-09,"48469","CD14 Monocyte",0.985074626865672
6,-1.03490762206629,6.74764579648787,5.29186349498283,0.0222030276455004,0.0503875309785603,0.0502618406755394,"363608","MAIT",0.393258426966292
7,0.72402883996805,6.61133611176929,2.22478945090416,0.137001648608223,0.220405444582874,0.220721248593427,"216337","TReg Cytotoxic",0.264705882352941
8,1.63251781706202,6.76321145441924,8.62313224862864,0.00361107207032265,0.0111427781592562,0.011012281847394,"402552","NK CD56dim CD57int",0.786666666666667
9,-0.541279576930478,6.59551944575607,1.4067723748333,0.236656212914527,0.338744937730568,0.339071363917757,"208016","TReg Cytotoxic",0.253968253968254
10,0.938405411150798,7.08428579754188,2.7468256822037,0.098632104832015,0.169515922893006,0.169684103746168,"286974","CD14 Monocyte",0.104477611940299
11,-1.49449606176295,6.80810720299934,9.2813991036835,0.00254875179758309,0.00828587267856144,0.00816092996783847,"146282","Naive B",0.450980392156863
12,1.4825104041256,6.55493807790486,9.29058880732012,0.00253643410717153,0.00824932303155441,0.00812472500703872,"139227","Atypical memory B",0.459016393442623
13,-0.606100383499047,6.95927034263057,1.44090527972313,0.231065793488026,0.332579075056419,0.333032881967381,"255803","CD4 Temra",0.470588235294118
14,0.953227722162502,6.7383765297784,3.11725716182448,0.0786226719725536,0.141204331676052,0.141128349677109,"421282","NK CD56dim CD57int",0.724137931034483
15,-0.348022784862128,7.18662985988399,0.441396116393183,0.507027563061707,0.612065350023169,0.612850055554217,"412672","NK CD56bright",0.77720207253886
16,-1.54688659159334,6.81232011761659,9.27649717794788,0.00256652944471025,0.00833513732870221,0.00820771582265344,"324380","CD4 Tfh",0.341880341880342
17,-0.200537437301798,6.668048060727,0.175744916015483,0.675398120062185,0.756817488681077,0.756138213428837,"123121","IgM Plasma B Cell",0.46031746031746
18,0.856281366962925,6.81571527947667,2.37467085350337,0.124513601214573,0.204236796999289,0.204376901394871,"64623","CD14 Monocyte",0.892156862745098
19,-2.08847337430869,6.66903668649235,22.5962842613271,3.28407006107364e-06,2.46745745669584e-05,2.29332891010847e-05,"398900","NK CD56dim CD57int",0.329545454545455
20,1.89605124252473,7.02493432793078,10.4473385312072,0.0013838334017007,0.00495465815588856,0.00484993706556543,"124228","Naive B",0.294444444444444
21,-0.754501588031272,6.85035709835683,2.59830677392554,0.108169308726793,0.182377530888863,0.182514667718624,"269087","CD4 Naive",0.626984126984127
22,1.3693420165701,6.80000471644539,6.70953698877233,0.0101210978539144,0.0263714151928306,0.0261241288945556,"446507","ILC1",0.220338983050847
23,-0.566098129126835,6.91526291821559,1.21631593314315,0.271086291797237,0.377288795885084,0.377943723152642,"146884","CD14 Monocyte",0.258620689655172
24,-0.621712209489726,6.61990305954581,1.82750008013613,0.177576816038979,0.270893898118836,0.27154781019231,"111507","CD14 Monocyte",0.6
25,0.181855763273987,6.92589814367808,0.132447650729405,0.716198056000948,0.790099350434488,0.789240155723258,"19184","CD14 Monocyte",0.9375
26,0.893667867755898,6.64703667999572,3.04530658531466,0.0821350137534525,0.14637511554195,0.146269474822459,"169455","Naive-IFN B",0.398058252427184
27,0.377820462723035,6.95171967845539,0.51951457518637,0.47168472748274,0.579520818361251,0.580101727557495,"454479","CD14 Monocyte",0.615384615384615
28,-5.34041384936442,7.20233474715039,116.869345664523,8.37215881513282e-23,1.37874723560284e-20,1.46794608940645e-20,"131119","CD5+ B Cell",0.274285714285714
29,1.29655656650455,6.54760300818073,7.30763406460996,0.00731055154487769,0.0200897495759151,0.0198892753383847,"299476","TReg KLRB1+RORC+",0.224719101123595
